id,observatory_name,is_observable,has_exhibition,has_lodgement,has_planetarium,home_page,phone_number,address,rate,longitude,latitude,image_url
14,가평코스모피아천문대,1,0,1,1,null,031-585-0482,경기도 가평군 하면 상판리 86,0,127.392198,37.914863,https://astro.kasi.re.kr/file/astro_page/496775006042585.jpg
15,양주송암천문대,1,0,1,1,http://www.starsvalley.com/,031-894-6000,경기도 양주시 장흥면 석현리 410-5,0,126.942256,37.740984,
16,의정부과학도서관(천문우주체험실),1,1,0,1,http://www.uilib.net/information/,031-828-8670,경기도 의정부시 신곡동 124-1,0,127.068956,37.744918,https://astro.kasi.re.kr/file/astro_page/496779740278266.jpg
17,어린이천문대(일산),1,0,1,0,http://www.astrocamp.net/index.html,031-975-3245,경기도 고양시 일산동구 성석동 933-1,0,126.791406,37.70018,
18,양평중미산천문대,1,0,1,0,http://www.astrocafe.co.kr/,031-771-0306,경기도 양평군 옥천면 신복리 117-1,0,127.45942,37.581744,
19,양평국제천문대,1,0,1,1,null,031-775-0822,경기도 양평군 옥천면 용천리 1037-19,0,127.507702,37.557604,https://astro.kasi.re.kr/file/astro_page/496778279517508.jpg
20,국립과천과학관,1,1,0,1,http://www.scientorium.go.kr/,02-3677-1500,경기도 과천시 상하벌로 110,0,127.002295,37.439637,https://astro.kasi.re.kr/file/astro_page/496775465583325.jpg
21,과천정보과학도서관 (내천문대),1,1,0,1,http://www.gclib.go.kr/,02-3677-0780,경기도 과천시 갈현동 677,0,126.989532,37.418568,
22,어린이천문대(구둔),1,0,0,0,null,031-975-3241,경기도 양평군 지평면 일신리 652,0,127.685973,37.43449,https://astro.kasi.re.kr/file/astro_page/496778680971327.jpg
23,군포누리천문대(군포시립도서관),1,0,1,1,null,031-501-7100,경기도 군포시 대야미동 636-7,0,126.915364,37.330239,https://astro.kasi.re.kr/file/astro_page/496776297500878.jpg
24,어린이천문대(분당),0,0,0,0,null,031-322-3245,경기도 용인시 처인구 모현읍 오산로 132-1,0,127.155099,37.323325,https://astro.kasi.re.kr/file/astro_page/496778956277205.jpg
25,여주세종천문대,1,0,0,1,null,031-886-2200,경기도 여주군 강천면 부평리 472-2,0,127.754163,37.257186,https://astro.kasi.re.kr/file/astro_page/496779372314977.jpg
26,평택무봉산청소년수련원,1,0,1,0,null,031-610-4416,경기도 평택시 진위면 동천리 681,0,127.097756,37.107562,
27,안성천문대,1,0,1,0, http://www.nicestar.co.kr/, 031-677-2245,경기도 안성시 미양면 강덕리 79-14,0,127.2338,36.955724,https://astro.kasi.re.kr/file/astro_page/496777298730172.jpg
28,제천별새꽃들 자연탐사과학관,1,1,1,0,http://ntam.org/,043-653-6534,충청북도 제천시 봉양읍 옥전2리 913,0,128.117169,37.170839,https://astro.kasi.re.kr/file/astro_page/497641145979890.jpg
29,충주고구려천문과학관,1,1,0,1,http://www.gogostar.kr/,043-842-3247,충청북도 충주시 가금면 하구암리 143-3,0,127.848381,37.040561,
30,진천선두천문대,1,1,1,0,null,043-535-1014,충청북도 진천군 광혜원면 실원리,0,127.439565,37.003401,
31,소백산천문대,0,0,1,0,http://soao.kasi.re.kr/,043-422-1108,충청북도 단양군 단양읍 천동리 산 9-5,0,128.453691,36.932097,https://astro.kasi.re.kr/file/astro_page/497640587977839.jpg
32,증평좌구산천문대,0,0,0,0,null,null,충청북도 증평군 증평읍 율리,0,127.640004,36.718373,
33,청주랜드천문관,1,1,0,0,null,043-200-4705,충청북도 청주시 상당구 명암로 171,0,127.515747,36.650529,
34,보은서당골천문대,1,0,1,0,null,043-542-0981,충청북도 보은군 마로면 임곡리 산14-2,0,127.855936,36.43215,https://astro.kasi.re.kr/file/astro_page/497639762060514.jpg
35,천안청소년수련원,1,0,1,0,http://www.nyc.or.kr/,041-620-7700,충청남도 천안시 동남구 목천읍 서리4길 48,0,127.228757,36.786286,
36,서산류방택천문기상과학관,1,1,1,1,http://www.ryubangtaek.or.kr/,041-669-8496,충청남도 서산시 인지면 애정리 151-8,0,126.41309,36.727304,https://astro.kasi.re.kr/file/astro_page/497640087316660.jpg
37,호빔천문대,0,0,0,0,http://astronavi.co.kr/zeroboard/zboard.php?id=equipment,016-750-3933,충청남도 아산시 배방읍 장재리 1422,0,127.096922,36.787517,
38,조치원을지천문대,0,0,0,0,null,041-862-3332,충청남도 연기군 서면 와촌리 806-2,0,127.250651,36.558555,
39,청양칠갑산천문대,1,1,0,1,null,041-940-2790,충청남도 청양군 정산면 마치리 526-3,0,126.889858,36.43363,
40,영양반딧불이천문대 (영양반딧불이 생태학교),1,1,0,1,null,054-680-6045,경상북도 영양군 수비면 수하리 255-1,0,129.270171,36.830514,https://astro.kasi.re.kr/file/astro_page/497646926541030.jpg
41,예천천문우주센터 (예천별천문대),1,1,1,0,http://www.portsky.net/,054-654-1710,경상북도 예천군 감천면 충효로 1078,0,128.505958,36.701422,
42,영천보현산천문대,0,1,0,0,http://boao.kasi.re.kr/,054-330-1000,경상북도 영천시 화북면 정각길 475,0,128.976906,36.164334,
43,영천보현산천문과학관,1,1,1,1,http://www.staryc.com/main/,054-330-6447,경상북도 영천시 화북면 정각리 689,0,128.997038,36.140117,https://astro.kasi.re.kr/file/astro_page/497647509434738.jpg
44,거창월성청소년수련원,1,0,1,0,null,055-945-1913,경상남도 거창군 북상면 월성리 1608,0,127.724841,35.761307,https://astro.kasi.re.kr/file/astro_page/497644887636475.jpg
45,김해천문대,1,1,0,1,null,055-337-3785,경상남도 김해시 어방동 산2-80,0,128.889388,35.251812,https://astro.kasi.re.kr/file/astro_page/497645560219170.jpg
46,무주 반디별 천문과학관 (반디랜드 내),1,1,1,0,null,063-320-2184,전라북도 무주군 설천면 청량리 1011,0,127.753593,36.011978,
47,무주부남천문대,1,0,1,0,null,063-322-0220,전라북도 무주군 부남면 대소리 460,0,127.559131,35.973815,
48,변산 금구원조각공원천문대,1,0,0,0,null,063-584-6770,전라북도 부안군 변산면 도청리 861-20,0,126.488943,35.620652,https://astro.kasi.re.kr/file/astro_page/497643619082129.jpg
49,남원하늘별마을만행산천문체험관,1,0,1,0,null,063-626-9009,전라북도 남원시 산동면 대상리 597-3,0,127.471402,35.529003,https://astro.kasi.re.kr/file/astro_page/497642926977281.jpg
50,남원항공우주천문대,1,1,1,1,http://spica.namwon.go.kr/index.sko,063-620-6900,전라북도 남원시 노암동 1-1,0,127.387567,35.399278,
51,담양성암천문대 (성암국제수련원 내),1,0,1,0,http://sacamp.co.kr/,061-381-8361,전라남도 담양 수북면 대방리 산76,0,126.898189,35.315952,
52,곡성섬진강천문대,1,1,0,1,http://star.gokseong.go.kr/,061-363-8528,전라남도 구례군 구례읍 논곡리 829-2,0,127.369106,35.226708,https://astro.kasi.re.kr/file/astro_page/497642404000523.jpg
53,순천만천문대,1,1,0,1,http://www.suncheonbay.go.kr/,061-749-3007,전라남도 순천시 대대동 162-2,0,127.509432,34.885682,https://astro.kasi.re.kr/file/astro_page/497644579379274.jpg
54,장흥정남진천문과학관,1,1,0,1,null,061-860-0651,전라남도 장흥군 장흥읍 평화우산길 180-608,0,126.925862,34.658111,
55,고흥우주천문과학관,1,1,1,0,null,null,전라남도 고흥군 도양읍 용정리,0,127.133128,34.552809,
56,빛고을천문대,1,0,1,1,null,062-373-0942,광주광역시 서구 학생독립로 37,0,126.868004,35.141637,https://astro.kasi.re.kr/file/astro_page/497644094552985.jpg
57,한국우주전파관측망 울산전파천문대,0,0,0,0,null,052-247-6491,울산광역시 남구 대학로 93,0,129.257425,35.541837,https://astro.kasi.re.kr/file/astro_page/497647960402575.jpg
58,부산어린이회관,1,1,0,1,http://www.childpia.kr/,051-810-8800,부산광역시 부산진구 성지곡로33번길 29-28,0,129.045698,35.185617,
59,부산금련산천문대,1,0,1,0,http://cafe.naver.com/mtkumryunstar.cafe,051-610-3222,부산광역시 황령산로 156,0,129.102909,35.155242,
60,대덕전파천문대,0,0,0,0,null,042-865-3332,대전광역시 유성구 화암동61-1,0,127.375261,36.39945,https://astro.kasi.re.kr/file/astro_page/497638305769859.jpg
61,대전시민천문대,1,1,0,1,http://star.metro.daejeon.kr/,042-863-8763,대전광역시 유성구 과학로 213-48,0,127.353661,36.381622,https://astro.kasi.re.kr/file/astro_page/497639246865779.jpg
62,한국천문연구원본원,0,1,0,0,http://www.kasi.re.kr/,042-865-3332,대전광역시 유성구 화암동61-1,0,127.375261,36.39945,https://astro.kasi.re.kr/file/astro_page/497641661536982.jpg
63,국립중앙과학관,1,1,1,1,http://www.science.go.kr/,042-601-7913,대전광역시 유성구 구성동32-2,0,127.37792,36.374186,https://astro.kasi.re.kr/file/astro_page/497638004545543.jpg
64,대전만인산푸른학습원,1,1,1,1,http://www.maninedu.or.kr/,042-280-5566,대전광역시 동구 하소동 460-2,0,127.454819,36.201921,https://astro.kasi.re.kr/file/astro_page/497638831322693.jpg
65,제주별빛누리공원,1,1,0,1,http://star.jejusi.go.kr/,064-728-8900,제주특별자치도 제주시 선돌목동길 60,0,126.549186,33.444576,https://astro.kasi.re.kr/file/astro_page/497648983662386.jpg
66,서귀포 천문과학문화관,1,1,0,1,http://astronomy.seogwipo.go.kr/,064-739-9701,제주특별자치도 서귀포시 하원동 산70,0,126.461145,33.287458,https://astro.kasi.re.kr/file/astro_page/497648392798056.jpg
67,한국우주전파관측망 탐라전파천문대,0,0,0,0,null,null,제주특별자치도 서귀포시 하원동 산70,0,126.461145,33.287458,
